tournament_name,white_id,result,black_id,date
Regular Session 20260604,P0018,0.5,P0006,2026-06-04
Regular Session 20260604,P0039,1.0,P0018,2026-06-04
Regular Session 20260604,P0043,1.0,P0039,2026-06-04
Regular Session 20260604,P0039,1.0,P0043,2026-06-04
Regular Session 20260617,P0036,1.0,P0039,2026-06-17
Regular Session 20260617,P0041,1.0,P0010,2026-06-17
Regular Session 20260617,P0041,1.0,P0010,2026-06-17
Regular Session 20260618,P0042,0.0,P0006,2026-06-18
Regular Session 20260618,P0041,1.0,P0008,2026-06-18
Regular Session 20260618,P0008,0.0,P0041,2026-06-18
Regular Session 20260618,P0041,1.0,P0008,2026-06-18
Regular Session 20260618,P0006,0.5,P0041,2026-06-18
Regular Session 20260618,P0008,1.0,P0042,2026-06-18
RegularSession20260701,P0041,0.0,P0005,2026-07-01
RegularSession20260701,P0003,0.0,P0037,2026-07-01
RegularSession20260701,P0005,1.0,P0037,2026-07-01
RegularSession20260701,P0007,0.0,P0044,2026-07-01
RegularSession20260701,P0044,0.5,P0007,2026-07-01
RegularSession20260701,P0041,1.0,P0042,2026-07-01
RegularSession20260701,P0031,1.0,P0028,2026-07-01
RegularSession20260701,P0028,1.0,P0031,2026-07-01
RegularSession20260701,P0005,1.0,P0008,2026-07-01
RegularSession20260701,P0006,1.0,P0041,2026-07-01
RegularSession20260701,P0004,0.0,P0031,2026-07-01
RegularSession20260708,P0041,0.0,P0035,2026-07-08
RegularSession20260708,P0035,1.0,P0042,2026-07-08
RegularSession20260708,P0042,0.0,P0035,2026-07-08
RegularSession20260708,P0036,1.0,P0028,2026-07-08
RegularSession20260708,P0028,1.0,P0036,2026-07-08
RegularSession20260708,P0042,0.0,P0045,2026-07-08
RegularSession20260708,P0045,0.0,P0041,2026-07-08
RegularSession20260715,P0038,1.0,P0041,2026-07-15
RegularSession20260715,P0003,1.0,P0004,2026-07-15
RegularSession20260715,P0004,0.0,P0003,2026-07-15
RegularSession20260715,P0028,1.0,P0023,2026-07-15
RegularSession20260715,P0023,0.0,P0028,2026-07-15
RegularSession20260715,P0046,0.0,P0004,2026-07-15
RegularSession20260715,P0031,0.0,P0023,2026-07-15
RegularSession20260715,P0046,0.0,P0004,2026-07-15
RegularSession20260715,P0041,0.0,P0038,2026-07-15
RegularSession20260715,P0023,1.0,P0031,2026-07-15
RegularSession20260715,P0004,0.0,P0046,2026-07-15
RegularSession20260722,P0003,1.0,P0036,2026-07-22
RegularSession20260722,P0036,1.0,P0003,2026-07-22
RegularSession20260722,P0036,0.0,P0039,2026-07-22
RegularSession20260722,P0039,1.0,P0036,2026-07-22
RegularSession20260722,P0005,1.0,P0038,2026-07-22
RegularSession20260722,P0005,0.5,P0007,2026-07-22
RegularSession20260722,P0038,1.0,P0006,2026-07-22
RegularSession20260722,P0008,1.0,P0044,2026-07-22
RegularSession20260722,P0003,0.0,P0035,2026-07-22
RegularSession20260722,P0028,1.0,P0031,2026-07-22
RegularSession20260722,P0031,0.0,P0028,2026-07-22
RegularSession20260722,P0045,0.0,P0006,2026-07-22
RegularSession20260722,P0035,1.0,P0044,2026-07-22
RegularSession20260722,P0008,0.0,P0006,2026-07-22
RegularSession20260722,P0045,0.0,P0003,2026-07-22
RegularSession20260722,P0040,0.0,P0035,2026-07-22
RegularSession20260730,P0006,1.0,P0005,2026-07-30
RegularSession20260812,P0028,0.0,P0008,2026-08-12
RegularSession20260812,P0041,1.0,P0004,2026-08-12
RegularSession20260812,P0005,1.0,P0007,2026-08-12
RegularSession20260812,P0007,1.0,P0042,2026-08-12
RegularSession20260812,P0042,0.5,P0007,2026-08-12
RegularSession20260812,P0047,0.0,P0008,2026-08-12
RegularSession20260812,P0047,1.0,P0008,2026-08-12
RegularSession20260812,P0039,1.0,P0037,2026-08-12
RegularSession20260812,P0005,1.0,P0011,2026-08-12
RegularSession20260819,P0007,0.0,P0006,2026-08-19
RegularSession20260819,P0006,0.0,P0007,2026-08-19
RegularSession20260819,P0005,0.0,P0044,2026-08-19
RegularSession20260819,P0044,1.0,P0042,2026-08-19
RegularSession20260819,P0018,0.5,P0007,2026-08-19
RegularSession20260819,P0039,0.0,P0006,2026-08-19
